category,field,subfield,detail,year,question,answer,choice1,choice2,choice3,choice4,time_limit,commentary
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"<p>A, B, C, D を論理変数とするとき、次のカルノー図と等価な論理式はどれか。ここで、・は論理積,+は論理和、-XはXの否定を表す。</p><img src='/images/2025r07a_ap_am_qs_1.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>",エ,ア,イ,ウ,エ,300,""
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"コンピュータによる伝票処理システムがある。このシステムは、伝票データをためる待ち行列をもち、 M/M/1の待ち行列モデルが適用できるものとする。平均待ち時間がT秒以上となるのは、システムの利用率が少なくとも何%以上となったときか。ここで、伝票データをためる待ち行列の特徴は次のとおりである。
・伝票データは、ポアソン分布に従って到着する。
・伝票データをためる数に制限はない。
・1件の伝票データの処理時間は、平均T秒の指数分布に従う。","50","33","50","67","80",300,""
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"AIにおける機械学習において、2クラス分類モデルの評価方法の一つである ROC曲線で用いられる偽陽性率の説明として、最も適切なものはどれか。ここで、分類されるデータには正しいものと間違っているものが含まれるものとする。","実際に“間違い”であるデータに対し、誤って“正しい”と予測したデータの割合","“間違い”と予測したデータのうち、実際は“正しい” データの割合","実際に“間違い”であるデータに対し、誤って“正しい”と予測したデータの割合","実際に“間違い”であるデータに対し、正しく“間違い”と予測したデータの割合","全データのうち、実際に正しく予測できなかったデータの割合",60,""
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"誤り検出方式である CRC に関する記述として、適切なものはどれか。","送信側では、生成多項式を用いて検査対象のデータから検査用のデータを作り、これを検査対象のデータに付けて送信する。","検査用のデータは、検査対象のデータを生成多項式で処理して得られる1ビットの値である。","受信側では、付加されてきた検査用のデータで検査対象のデータを割り、余りがなければ送信が正しかったと判断する。","送信側では、生成多項式を用いて検査対象のデータから検査用のデータを作り、これを検査対象のデータに付けて送信する。","送信側と受信側では、異なる生成多項式が用いられる。",60,""
応用情報技術者試験,テクノロジ系,基礎理論,アルゴリズムとプログラミング,2025,"記憶領域を管理するアルゴリズムのうち、ベストフィット方式の特徴として、適切なものはどれか。","空きブロック群のうち、要求された大きさを満たす最小のものを割り当てるので、最終的には小さな空きブロックが多数残る傾向にある。","空きブロック群のうち、アドレスが下位のブロックを高い頻度で使用するので、アドレスが上位の方に大きな空きブロックが残る傾向にある。","空きブロック群のうち、要求された大きさを満たす最小のものを割り当てるので、最終的には小さな空きブロックが多数残る傾向にある。","空きブロックの検索にハッシュ関数を使用しているので、高速に検索することができる。","空きブロックをアドレスの昇順に管理しているので、隣接する空きブロックを簡単に見つけられ、より大きな空きブロックにまとめることができる。",60,""
応用情報技術者試験,テクノロジ系,基礎理論,アルゴリズムとプログラミング,2025,"異なるn個のデータが昇順に整列された表がある。この表をm個のデータごとのブロックに分割し、各ブロックの最後尾のデータだけを線形探索することによって、目的のデータの存在するブロックを探し出す。次に、当該ブロック内を線形探索して目的のデータを探し出す。このときの平均比較回数を表す式はどれか。ここで、mは十分に大きく、nはmの倍数とし、目的のデータは必ず表の中に存在するものとする。","m/2 + n/(2m)","m + n/m","m/2 + n/(2m)","n/m","n/(2m)",300,""
応用情報技術者試験,テクノロジ系,基礎理論,アルゴリズムとプログラミング,2025,"OSSとして公開されているプログラム言語である Scalaの特徴はどれか。","オブジェクト指向プログラミングと関数型プログラミングの両方が可能である。","オブジェクト指向プログラミングと関数型プログラミングの両方が可能である。","クラスの多重継承が可能である。","実行前にコンパイルして、ネイティブコードを生成する必要がある。","変数の型が、参照する実際の値によって実行時に決定される動的型付け言語である。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,コンピュータ構成要素,2025,"プロセッサの高速化技法の一つとして、同時に実行可能な複数の動作を、コンパイルの段階でまとめて一つの複合命令とし、高速化を図る方式はどれか。","VLIW","CISC","MIMD","RISC","VLIW",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,コンピュータ構成要素,2025,"画面表示用フレームバッファがユニファイドメモリ方式であるシステムの特徴はどれか。","主記憶の一部を表示領域として使用する。","主記憶とは別に専用のフレームバッファをもつ。","主記憶の一部を表示領域として使用する。","シリアル接続した表示デバイスに、描画コマンドを用いて表示する。","表示リフレッシュが不要である。",60,""
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"<p>モーターの軸に装着された回転センサーから出力されるパルスの周期を、1MHz のクロック周波数でカウントアップするタイマーで計測したところ、10,000 カウントであった。モーターの回転数は毎秒何回転か。ここで、回転センサーはモーターの軸が1回転するごとに図のようなパルスを2回出力するものとする。</p><img src='/images/2025r07a_ap_am_qs_10.png' alt='図' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","50","50","100","200","5,000",300,""
