category,field,subfield,detail,year,question,answer,choice1,choice2,choice3,choice4,time_limit,commentary
基本情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"大規模言語モデルを用いた自然言語処理において、事前学習済みのモデルに対して行う、ファインチューニングに関する記述として、最も適切なものはどれか。","特定のデータを用いて追加で学習を行い、目的とするタスクに適用できるようにする。","強化学習を行い、最適な結果が得られるようにする。","事前学習と同じデータを繰り返し用いて学習を行い、モデルの精度を高めるようにする。","大量のテキストデータを用いて学習を行い、モデルの精度を高めるようにする。","特定のデータを用いて追加で学習を行い、目的とするタスクに適用できるようにする。",60,"ファインチューニングは、事前学習したAIモデルに対し、少量の追加学習を行うことで、目的のタスクに適応できるようにする手法。
「強化学習を行い、最適な結果が得られるようにする。」: ファインチューニングでは、ラベル付き学習データを用いる教師あり学習が基本である。強化学習は、各行動に対して報酬やスコアを与えながら自律的に学習させる仕組みであり、一般にファインチューニングには使用されない。
「事前学習と同じデータを繰り返し用いて学習を行い、モデルの精度を高めるようにする。」: ファインチューニングでは、特定のタスクに合わせて用意した別のデータセットで学習を行う。このデータは事前学習で用いたデータとは別のものである。
「大量のテキストデータを用いて学習を行い、モデルの精度を高めるようにする。」: 事前学習の説明である。
「特定のデータを用いて追加で学習を行い、目的とするタスクに適用できるようにする。」: 正しい。ファインチューニングの説明である。"
基本情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"浮動小数点形式で表現された数値の演算結果における丸め誤差の説明はどれか。","数表現のけた数に限度があるので、最下位けたより小さい部分について四捨五入や切上げ、切捨てを行うことによって生じる誤差である。","演算結果がコンピュータの扱える最大値を超えることによって生じる誤差である。","数表現のけた数に限度があるので、最下位けたより小さい部分について四捨五入や切上げ、切捨てを行うことによって生じる誤差である。","乗除算において、指数部が小さい方の数値の仮数部の下位部分が失われることによって生じる誤差である。","絶対値がほぼ等しい数値の加減算において、上位の有効数字が失われることによって生じる誤差である。",60,"「演算結果がコンピュータの扱える最大値を超えることによって生じる誤差である。」: オーバーフローの説明である。
「数表現のけた数に限度があるので、最下位けたより小さい部分について四捨五入や切上げ、切捨てを行うことによって生じる誤差である。」: 正しい。丸め誤差は、数値を有限の桁数で表す際に、それ以降の桁を切捨て・切上げすることで生じる誤差である。
「乗除算において、指数部が小さい方の数値の仮数部の下位部分が失われることによって生じる誤差である。」: 情報落ちの説明である。
「絶対値がほぼ等しい数値の加減算において、上位の有効数字が失われることによって生じる誤差である。」: 桁落ちの説明である。"
基本情報技術者試験,テクノロジ系,基礎理論,アルゴリズムとプログラミング,2025,"<p>図の木構造は2分探索木である。a～gの値の大小関係として、適切なものはどれか。ここで、a～gの値は重複しないものとする。</p><img src='/images/2025r07_fe_kamoku_a_3.png' alt='図' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","d<b<e<a<f<c<g","a<b<d<e<c<f<g","d<b<e<a<f<c<g","d<e<f<g<b<c<a","g<f<c<e<d<b<a",60,"2分探索木は、各ノードがもつデータについて「そのノードから出る左部分木にあるどのデータよりも大きく、右部分木のどのデータよりも小さい」という条件を満たす2分木である。つまり、どの部分を見ても「左＜中＜右」の関係を満たしている必要がある。
この「左＜中＜右」の関係に基づくと、左部分木の大小関係は「d<b<e」、右部分木は「f<c<g」となる。根aは左部分木よりも大きく、右部分木よりも小さいため、両者の間に入る。よって、全体としては「d<b<e<a<f<c<g」の大小関係となる。"
基本情報技術者試験,テクノロジ系,コンピュータシステム,システム構成要素,2025,"MTBFは4,000時間, MTTRは1,000時間の装置がある。今後の6年間は、予防保守によってMTBFを前年に比べて毎年100時間ずつ改善し、遠隔保守によってMTTRを前年に比べて毎年100時間ずつ改善していく計画である。6年経過後の稼働率は幾らか。","0.92","0.88","0.90","0.92","0.94",300,"稼働率は、MTBFとMTTRの値を使って以下の式で求める。
稼働率 = MTBF / (MTBF + MTTR)
MTBF(平均故障間隔)は長いほど望ましく、MTTR(平均修復時間)は短いほど望ましいとされるため、MTBFの改善は時間増加、MTTRの改善は時間削減することを意味する。
MTBFが毎年100時間ずつ増加し、MTTRが毎年100時間ずつ減少すると、6年後のMTBFは「4,000 + 600 = 4,600時間」、MTTRは「1,000 - 600 - 400時間」となる。よって、6年経過後の稼働率は、
稼働率 = 4,600 / (4,600 + 400) = 0.92"
基本情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"ローコード開発ツールを用いたソフトウェア開発の説明はどれか。","アプリケーションソフトウェアの開発基盤の上で、用意された部品やテンプレートをGUIを用いた操作で組み合わせたり、必要に応じて一部の処理のソースコードを記述したりすることによって、アプリケーションソフトウェアを作成する。","アプリケーションソフトウェアの開発基盤の上で、用意された部品やテンプレートをGUIを用いた操作で組み合わせたり、必要に応じて一部の処理のソースコードを記述したりすることによって、アプリケーションソフトウェアを作成する。","アプリケーションソフトウェアの開発基盤の上で、用意された部品やテンプレートをGUIを用いた操作で組み合わせるだけで、ソースコードを記述せずに、アプリケーションソフトウェアを作成する。","アプリケーションソフトウェアの定型的な枠組みを参照して、独自の処理のソースコードを記述することによって、アプリケーションソフトウェアを作成する。","利用者がシステムを利用して行う作業を自動化ツールに代行させるために、利用者によるシステムの操作手順をツールに登録する。",60,"「アプリケーションソフトウェアの開発基盤の上で、用意された部品やテンプレートをGUIを用いた操作で組み合わせたり、必要に応じて一部の処理のソースコードを記述したりすることによって、アプリケーションソフトウェアを作成する。」: 正しい。ローコード開発の説明である。
「アプリケーションソフトウェアの開発基盤の上で、用意された部品やテンプレートをGUIを用いた操作で組み合わせるだけで、ソースコードを記述せずに、アプリケーションソフトウェアを作成する。」: ノーコード開発の説明である。
「アプリケーションソフトウェアの定型的な枠組みを参照して、独自の処理のソースコードを記述することによって、アプリケーションソフトウェアを作成する。」: テンプレート開発の説明である。
「利用者がシステムを利用して行う作業を自動化ツールに代行させるために、利用者によるシステムの操作手順をツールに登録する。」: RPA(Robotic Process Automation)の説明である。"
基本情報技術者試験,テクノロジ系,技術要素,データベース,2025,"<p>“商品”表に対するSQL文と同じ結果が得られるSELECT文はどれか。</p><img src='/images/2025r07_fe_kamoku_a_6.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>",SELECT * FROM 商品 WHERE 仕入先 ID='M002' OR 仕入先 ID='M004',"SELECT * FROM 商品 WHERE 仕入先 ID='M002' AND 仕入先 ID='M004'","SELECT * FROM 商品 WHERE 仕入先 ID='M002' INTERSECT SELECT * FROM 商品 WHERE 仕入先 ID='M004'","SELECT * FROM 商品 WHERE 仕入先 ID='M002' OR 仕入先 ID='M004'","SELECT * FROM 商品 WHERE 仕入先 ID BETWEEN 'M002' AND 'M004'",60,"<p>設問の[SQL文]は、商品表のうち仕入先IDが('M002', 'M004')に含まれる行を選択し、その全列を出力するというものである。結果は以下の3行となる。</p><img src='/images/2025r07_fe_kamoku_a_ans_6.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>
「SELECT * FROM 商品 WHERE 仕入先 ID='M002' AND 仕入先 ID='M004'」: WHERE句の条件がANDで結ばれているので、仕入先IDが'M002'かつ'M004'の行が選択される。該当する行は存在しないため、結果は0行となる。
「SELECT * FROM 商品 WHERE 仕入先 ID='M002' INTERSECT SELECT * FROM 商品 WHERE 仕入先 ID='M004'」: 仕入先IDが'M002'の行を選択した結果と、仕入先IDが'M004'の行を選択した結果とのINTERSECT(積集合)を求めている。2つの結果に共通する行は存在しないため、結果は0行となる。
<p>「SELECT * FROM 商品 WHERE 仕入先 ID='M002' OR 仕入先 ID='M004'」: 正しい。WHERE句の条件がORで結ばれているので、仕入先IDが'M002'または'M004'の行が選択される。この結果、設問の[SQL文]と同じ3行が出力される。</p><img src='/images/2025r07_fe_kamoku_a_ans_6.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>
<p>「SELECT * FROM 商品 WHERE 仕入先 ID BETWEEN 'M002' AND 'M004'」: 範囲指定をするBETWEEN句が使われているので、仕入先IDが'M002'以上'M004'以下の行が選択される。'M002'・'M003'・'M004'の行にマッチするため、結果は以下の5行となる。</p><img src='/images/2025r07_fe_kamoku_a_ans_6(1).png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>"
基本情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"1Gバイトの動画データを40Mビット/秒の回線を使用してダウンロードしたところ、5分掛かった。このときの回線利用率はおよそ何%か。ここで、ダウンロード時には動画データに20%の制御情報が付加されるものとする。","80","10","53","67","80",300,"対象のデータは1Gバイトだが、20%の制御情報が付加されるので、ダウンロードするデータ量は「1Gバイト × 1.2 = 1.2Gバイト」である。1.2Gバイトのダウンロードに5分(300秒)掛ったので、通信回線の実効速度は、
1.2Gバイト ÷ 300秒 = 0.004Gバイト/秒 → 4Mバイト/秒
回線速度40Mビット/秒を同じくバイト単位に揃える(1ビット=8ビット)。
40Mビット ÷ 8 = 5Mバイト/秒
回線利用率は、回線の最大容量に対して実際に使用されている割合なので、実効速度を理論上の速度で除して求める。
4Mバイト ÷ 5Mバイト = 0.8 → 80%"
基本情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"HTTPとHTTPSを比較した場合において、HTTPSだけがもつ特徴を示したものはどれか。","通信相手先サーバをサーバ証明書によって確認することが可能である。","cookieに保存されている情報を用いたセッション管理が可能である。","IDとパスワードによって利用者の認証を行うことが可能である。","Webブラウザでキャッシュさせることによって通信量を減らすことが可能である。","通信相手先サーバをサーバ証明書によって確認することが可能である。",60,"「cookieに保存されている情報を用いたセッション管理が可能である。」: Cookieは、HTTPでも利用可能な仕組みである。HTTPSが登場する前から普通に使われていた。
「IDとパスワードによって利用者の認証を行うことが可能である。」: HTTPには、ベーシック認証・ダイジェスト認証というID・パスワードで認証する方式が備わっている。HTTPSに特有ではない。
「Webブラウザでキャッシュさせることによって通信量を減らすことが可能である。」: キャッシュ制御はHTTPヘッダー(Cache-Control)によって行われる。HTTPSに特有ではない。
「通信相手先サーバをサーバ証明書によって確認することが可能である。」: 正しい。HTTPSでは、通信開始前にサーバ認証(必須)とクライアント認証(オプション)が行われる。サーバがサーバ証明書をクライアントに送信し、クライアントがその内容と認証局の署名を確認することでサーバの正当性が確認される。"
基本情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"暗号の危殆化に該当するものはどれか。","あるハッシュ関数においてハッシュ値が同じになるデータの組みを現実的な時間内で発見する方法が見つかった。","あるCAでデジタル証明書の署名に使っている公開鍵のデジタル証明書の有効期限が切れた。","ある暗号アルゴリズムの秘密鍵が不正アクセスによって漏えいした。","あるハッシュ関数においてハッシュ値が同じになるデータの組みを現実的な時間内で発見する方法が見つかった。","あるランサムウェアの一種で暗号化されたファイルの復号鍵が公開された。",60,"暗号の危殆化は、技術の進歩によってコンピュータの計算性能が向上し、暗号鍵が現実的な時間で推定可能となることで、暗号アルゴリズムの安全性が低下する状況を指す。
RSAの素因数分解問題、エルガマル暗号の離散対数問題のように、多くの暗号アルゴリズムやハッシュ関数はその解読に膨大な計算量が必要であることを安全性の根拠としている。実際にその計算ができる現実的な可能性が生じ、その暗号アルゴリズムの強度が失われた状態が「危殆化(きたいか)」である。"
基本情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"WAFの説明はどれか。","Webサイトに対するアクセス内容を監視し、攻撃とみなされるパターンを検知したときに当該アクセスを遮断する。","Webサイトに対するアクセス内容を監視し、攻撃とみなされるパターンを検知したときに当該アクセスを遮断する。","Wi-Fi アライアンスが認定した無線 LAN の暗号化方式の規格であり、AES 暗号に対応している。","様々なシステムの動作ログを一元的に蓄積、管理し、セキュリティ上の脅威となる事象をいち早く検知、分析する。","ファイアウォール機能を有し、マルウェア対策機能、侵入検知機能などの複数のセキュリティ機能を連携させ、統合的に管理する。",60,"「Webサイトに対するアクセス内容を監視し、攻撃とみなされるパターンを検知したときに当該アクセスを遮断する。」: 正しい。WAF(Web Application Firewall)の説明である。
「Wi-Fi アライアンスが認定した無線 LAN の暗号化方式の規格であり、AES 暗号に対応している。」: WPA2(Wi-Fi Protected Access 2)の説明である。
「様々なシステムの動作ログを一元的に蓄積、管理し、セキュリティ上の脅威となる事象をいち早く検知、分析する。」: SIEM(Security Information and Event Management)の説明である。
「ファイアウォール機能を有し、マルウェア対策機能、侵入検知機能などの複数のセキュリティ機能を連携させ、統合的に管理する。」: UTM(Unified Threat Management)の説明である。"
