category,field,subfield,detail,year,question,answer,choice1,choice2,choice3,choice4,time_limit,commentary
ITパスポート試験,ストラテジ系,企業と法務,法務,2025,"A社がB社に作業の一部を請負契約で委託している。作業形態a~cのうち、いわゆる偽装請負とみなされる状態だけを全て挙げたものはどれか。
a. B社の従業員が、A社内において、A社の責任者の指揮命令の下で、請負契約で取り決めた作業を行っている。
b. B社の従業員が、A社内において、B社の責任者の指揮命令の下で、請負契約で取り決めた作業を行っている。
c. B社の従業員が、B社内において、A社の責任者の指揮命令の下で、請負契約で取り決めた作業を行っている。","a, c","a","a, b","a, c","b, c",60,"請負契約は、請負人が依頼された仕事を完成することを約束し、注文者が仕事の結果に対してその報酬を支払うことを内容とする契約。作業の進め方や従業員への指示は請負業者(受託者)自身が行う。発注者は成果物の完成を要求できるが、直接、請負業者の従業員に指揮命令をすることはできない。
偽装請負とは、表向きは請負契約としながらも、実際には請負業者の従業員が発注者の指揮命令の下に業務に従事している状態を指す(業務を行っている場所は問わない)。
設問では、A社が発注者、B社が受託者なので、B社の従業員がA社の指揮命令の下に作業を行っていれば偽装請負に該当する。
a. 該当する。指揮命令をしているのがA社なので、偽装請負となる。
b. 該当しない。指揮命令をしているのがB社なので問題ない。
c. 該当する。指揮命令をしているのがA社なので、偽装請負となる。たとえ、作業場所がB社内であってもA社が指揮命令していれば、労務提供とみなされる。"
ITパスポート試験,ストラテジ系,企業と法務,法務,2025,"従来の情報セキュリティマネジメントシステム規格を基礎に追加で制定されたもので、クラウドサービスに対応した情報セキュリティ管理体制を構築するためのガイドライン規格として、最も適切なものはどれか。","ISO/IEC 27017","ISO 14001","JIS Q 15001","ISO/IEC 27017","ISO 9001",60,"ISO 14001: 組織の環境マネジメントシステムについて要求事項を定めた国際標準規格。企業や組織が環境への負荷を最小限に抑えるための仕組みを構築・運用することを目的としている。
JIS Q 15001: 個人情報保護マネジメントシステムの構築・運用に関する日本産業規格。主に「プライバシーマーク制度」の審査基準として用いられている。
ISO/IEC 27017: クラウドサービスの提供と利用に関しての情報セキュリティ管理策が規定された国際標準規格。対応する認証制度として、ISMSクラウドセキュリティ認証がある。
ISO 9001: 組織の品質マネジメントシステムについて要求事項を定めた国際標準規格。製品・サービスの品質管理や顧客満足度の向上を目的としている。"
ITパスポート試験,ストラテジ系,企業と法務,企業活動,2025,"政府は、官民データ活用推進基本法に定められた“官民データ活用推進基本計画”を策定し、官民データの公開や活用の促進に取り組んでいる。次の組織体のうち、官民データを所有しているものだけを全て挙げたものはどれか。
a. 県庁　b. 大学　c. 電力事業者　d. 独立行政法人","a, b, c, d","a, b, c","a, b, c, d","a, b, d","a, c, d",60,"官民データ活用推進基本法は、国、地方公共団体、民間事業者が持つ多様で大量のデータ(官民データ)の適正かつ効果的な活用の推進に関し、基本理念や国・地方公共団体・事業者の責務、基本的な施策を定めた法律。この法律に基づき「官民データ活用推進基本計画」が策定され、データを利活用するための基盤の整備について、国と地方公共団体等が一体となった包括的な取組みが進められている。
官民データとは、電磁的記録に記録された情報であって、国、地方公共団体、独立行政法人、その他事業者により、事務や事業の遂行に当たり管理・利用・提供されるものをいう。官(行政機関)・民(民間)が表すとおり、行政機関のみならず民間事業者が保有する情報も含まれる。"
ITパスポート試験,ストラテジ系,経営戦略,経営戦略マネジメント,2025,"投資の優先度などの経営の戦略を策定するために、経済価値、希少性、模倣困難性及び組織の四つの要素で評価することによって、自社のもつ資源を分析する手法として、最も適切なものはどれか。","VRIO分析","4P","PPM","SWOT分析","VRIO分析",60,"4P: 企業や商品やサービスを市場に提供する際に重要となる4つの要素、Product(製品)、Price(価格)、Place(立地・流通)、Promotion(宣伝・販売促進)の頭文字を取ったマーケティングの基本的な枠組み。
PPM: Products Portfolio Managementの略。市場成長率と市場占有率の2軸からなるマトリックスを用いて、自社の製品や事業を4つの象限(花形、金のなる木、問題児、負け犬)に分類し、それぞれの現状を分析することで、経営資源の最適配分や今後の戦略立案に役立てる手法。
SWOT分析: 企業内外の要因を、S(Strength: 強み)、W(Weakness: 弱み・弱点)、O(Opportunity: 機会)、T(Threat: 脅威)の4つに分類することで、企業の置かれている経営環境を分析する手法。
VRIO分析: 企業の経営資源である人、モノ、カネ、情報、知的財産等を、Value(経済的価値)、Rarity(希少性)、Imitability(模倣可能性)、Organization(組織)の4つの視点で評価し、強みと弱みの質や競争優位性を評価・分析するフレームワーク。"
ITパスポート試験,ストラテジ系,企業と法務,企業活動,2025,"A社ではB商品の仕入れと販売を行っている。ある期のB商品の仕入単価は期首から上昇し続け、期末が最も高くなった。当該期の売上原価を“期首棚卸高+当期商品仕入高-期末棚卸高”で計算するとき、期末棚卸高の計算に期末の仕入単価を用いると、B商品の期末棚卸高及び売上原価は、期中の仕入単価の平均値を用いる場合に比べてどのようになるか。","期末棚卸高は上がり、売上原価は下がる。","期末棚卸高、売上原価ともに上がる。","期末棚卸高、売上原価ともに変わらない。","期末棚卸高は上がり、売上原価は下がる。","期末棚卸高は下がり、売上原価は上がる。",60,"企業会計において、棚卸資産(商品、製品、半製品、原材料、仕掛品など)を評価する方法には、個別法、先入先出法、総平均法、最終仕入原価法などいくつかの種類がある。設問のように最終の仕入単価をもとに期末棚卸高を計算する方法は、最終仕入原価法と呼ばれる。
[期末棚卸高について]
最終仕入原価法は、期末の最新仕入単価をもとに評価するため、設問のように仕入価格が期中に上昇し続けた場合、平均法よりも高い期末棚卸高が計上される。例えば、仕入単価が次のように推移したとする。
・4月1日 1,000円
・8月1日 1,200円
・12月1日 1,400円
最終仕入単価である1,400円を用いた評価は、平均仕入単価1,200円よりも高くなる。
[売上原価について]
売上原価は「期首棚卸高+当期商品仕入高-期末棚卸高」で計算する。この式中で期末棚卸高は控除される項目であるため、期末棚卸高が高くなると、その分だけ売上原価は下がる。"
ITパスポート試験,ストラテジ系,企業と法務,法務,2025,"特定電子メール法は、電子メールによる一方的な広告宣伝メールの送信を規制する法律である。企業担当者が行った次の電子メールの送信事例のうち、特定電子メール法の規制対象となり得るものはどれか。","受信者から拒否通知があった場合には、それ以降の送信を禁止すればよいと考え、広告宣伝メールを送信した。","広告宣伝メールの受信を拒否する旨の意思表示がないことを確認したのち、公表されている企業のメールアドレス宛てに広告宣伝メールを送信した。","受信者から拒否通知があった場合には、それ以降の送信を禁止すればよいと考え、広告宣伝メールを送信した。","内容は事務連絡と料金請求なので問題ないと考え、受信者本人の同意なく、メールを送信した。","長年の取引関係にある企業担当者に対して、これまで納入してきた製品の新バージョンが完成したので、その製品に関する広告宣伝メールを送信した。",60,"特定電子メール法は、無差別かつ大量に短時間の内に送信される広告などの迷惑メールを規制するために制定された法律。
この法律で対象となる「特定電子メール」とは、自己または他人の営業について広告・宣伝の手段として送信をするもの全般を指す。具体的には、メールマガジンや営業メール、キャンペーン案内メール、新商品・新サービスの紹介メールなどがこれに該当する。
特定電子メールの送信は、次の4つのいずれかに該当する場合を除いて禁止されている。
・あらかじめ、送信について同意する旨を送信者に通知している(オプトイン)
・自分の電子メールアドレスを送信者に通知している
・広告・宣言メールに係る営業を営む者と取引関係にある
・団体や個人事業者で電子メールアドレスをインターネット上に公表している
「広告宣伝メールの受信を拒否する旨の意思表示がないことを確認したのち、公表されている企業のメールアドレス宛てに広告宣伝メールを送信した。」:
インターネット上でメールアドレスを公開している企業に対して送信される特定電子メールは、原則として法の規制対象外である。ただし、メールアドレスと併せて特定電子メールの送信をしないように求める文言を記載した場合には、この限りではない。
「受信者から拒否通知があった場合には、それ以降の送信を禁止すればよいと考え、広告宣伝メールを送信した。」:
正しい。広告・宣伝を目的とする電子メールを送信するには、あらかじめ受信者の同意(オプトイン)を得なければならない。受信者から送信拒否(オプトアウト)の通知があったら送るのをやめるという運用は認められず、同意を得ずにメールを送った時点で違反行為となる。
「内容は事務連絡と料金請求なので問題ないと考え、受信者本人の同意なく、メールを送信した。」:
特定電子メール法で規制されるのは、広告・宣伝を目的とするメールに限られる。事務連絡と料金請求という内容はこれに該当しないため、受信者の同意なく送信することが可能である。
「長年の取引関係にある企業担当者に対して、これまで納入してきた製品の新バージョンが完成したので、その製品に関する広告宣伝メールを送信した。」:
受信者はメールの内容の広告・宣伝に係る営業者と取引関係にあるため、受信者の同意なく送信することが可能である。"
ITパスポート試験,ストラテジ系,経営戦略,技術戦略マネジメント,2025,"新しい概念やアイディアの実証を目的とした、開発の前段階における検証を表す用語はどれか。","PoC","CRM","PoC","RAS","SLA",60,"CRM: Customer Relationship Managementの略。企業が顧客との良好な関係を構築・維持することで、それぞれの顧客の顧客生涯価値を最大化することを目指す一連の取組みである。日本語では「顧客関係管理」と呼ばれる。
PoC: 正しい。PoC(Proof of Concept: 概念実証)は、新しい概念や理論、技術、コンセプトについて、開発や導入を本格化する前段階で、その有効性や実現可能性を検証する取組みである。
RAS: R(Reliability: 信頼性)、A(Availability: 可用性)、S(Serviceability: 保守性)の頭文字を合わせたもので、システムの信頼性を示す指標。また、Remote Access Serverの略称としても使われる。
SLA: Service Level Agreementの略。サービス提供者とその利用者の間で結ばれる、サービスの品目や内容、品質などに関する合意のこと。"
ITパスポート試験,ストラテジ系,企業と法務,企業活動,2025,"AIの機械学習で利用するデータの取扱いに関する記述のうち、バイアスの低減やデータの品質を確保するために考えられる対策として、適切なものだけを全て挙げたものはどれか。
a. 学習の目的に適したデータであることを確認する。
b. データの入手元・作成来歴を確認する。
c. データへのアノテーションの付与は学習目的に合わせて実施する。
d. 人間の目でも同定が困難と考えられる画像認識用のデータは除外する。","a, b, c, d","a, b","a, b, c, d","a, d","b, c, d",60,"a. 適切。学習目的に合致しないデータで訓練すると、モデルが不適切な特徴を学習してしまい、データセットバイアスが起こる可能性がある。データ内容と学習タスクとの整合を確認することは基本的な事項である。
b. 適切。出所が不透明なデータは、偏った情報が含まれていたり、倫理的または法的な問題を抱えていたりする可能性がある。モデルに信頼性のあるデータを学習させるためには、入手経路や作成背景の確認が重要である。
c. 適切。アノテーションとは、AIがデータから学習できるように、対象データに意味づける情報(ラベル)を付与する作業を指す。学習させるのが同じデータであっても、学習目的が変わればアノテーションの内容も変わる。
d. 適切。モデルが正確に学習するためには、明確な特徴を持つデータが必要である。人間でも識別が困難な曖昧なデータはノイズとなり、誤ったパターンを学習する原因となるため、データ品質の観点から除外することが適切である。"
ITパスポート試験,ストラテジ系,経営戦略,技術戦略マネジメント,2025,"ハッカソンに関する記述として、最も適切なものはどれか。","プログラマーやデザイナーなどから成る複数の参加チームが、与えられたテーマに関するプロトタイプを短期間で作成し、その成果を発表して競い合う。","定められたルールの下、ある主題について、肯定派と否定派といった異なる立場に分かれて議論する。","情報セキュリティ分野で活躍したいという意志をもった若者が、合宿形式で情報セキュリティに関する実践的な知識を学ぶ。","プログラマーやデザイナーなどから成る複数の参加チームが、与えられたテーマに関するプロトタイプを短期間で作成し、その成果を発表して競い合う。","問題解決や利用者獲得などゲーム的な要素のない分野に、デジタル技術を活用したゲームの要素を取り入れることによって、利用者の参加を動機づける。",60,"ハッカソン(hackathon)は、ハック(hack)とマラソン(marathon)を組み合わせた造語で、IT技術者やデザイナーなどがチームとなり、限られた期間内にテーマに沿ったアプリケーションやサービスをプロトタイプ開発し、その成果を競い合うイベントのことである。
通常は数時間から数日間の期間で実施され、あらかじめ設定された特定のテーマや課題に取り組む形式が一般的である。技術力の向上や新しい人脈の形成の場として活用されたり、オープンイノベーションを実現する手段としても注目されている。
「定められたルールの下、ある主題について、肯定派と否定派といった異なる立場に分かれて議論する。」: ディベートの説明である。
「情報セキュリティ分野で活躍したいという意志をもった若者が、合宿形式で情報セキュリティに関する実践的な知識を学ぶ。」: セキュリティキャンプの説明である。
「プログラマーやデザイナーなどから成る複数の参加チームが、与えられたテーマに関するプロトタイプを短期間で作成し、その成果を発表して競い合う。」: 正しい。ハッカソンの説明である。
「問題解決や利用者獲得などゲーム的な要素のない分野に、デジタル技術を活用したゲームの要素を取り入れることによって、利用者の参加を動機づける。」: ゲーミフィケーションの説明である。"
ITパスポート試験,ストラテジ系,経営戦略,ビジネスインダストリ,2025,"生成AIにおいて、もっともらしいが事実とは異なる内容が出力されることを表す用語として、最も適切なものはどれか。","ハルシネーション","エコーチェンバー","シンギュラリティ","ディープフェイク","ハルシネーション",60,"エコーチェンバー: 趣味・思考が近い利用者が集まる場で同種の意見のやり取りが繰り返されることにより、特定の意見や思想が増幅していく様子をいう。
シンギュラリティ: 人工知能(AI)が人間の能力を超える転換点のことで、技術的特異点とも呼ばれる。この段階に達したAIは、AI自身が自己学習により優れたAIに改善することを繰り返すとされ、極めて短時間で大きな技術改革がもたらす反面、人間の予測や制御が及ばなくなるほどの危険性も指摘されている。
ディープフェイク: ディープラーニングによって学習した生成AIによって作られた、本物と見まごうほど精巧にできた偽の画像、動画、音声のことである。
ハルシネーション: 生成AIが利用者の問いかけに対し、あたかも真実であるかのように、的外れな情報や事実とは異なる情報を解答する現象のこと。"
